variable,valor
a_zt[1,1],0.0
a_zt[1,2],0.0
a_zt[1,3],0.0
a_zt[1,4],0.0
a_zt[1,5],1338.1996060730512
a_zt[1,6],1338.1996060730512
a_zt[1,7],1338.1996060730512
a_zt[1,8],1338.1996060730512
a_zt[1,9],1338.1996060730512
a_zt[1,10],1338.1996060730512
a_zt[1,11],1338.1996060730512
a_zt[1,12],0.0
a_zt[1,13],0.0
a_zt[1,14],0.0
a_zt[1,15],0.0
a_zt[1,16],0.0
a_zt[1,17],1338.1996060730512
a_zt[1,18],1338.1996060730512
a_zt[1,19],1338.1996060730512
a_zt[1,20],1338.1996060730512
a_zt[1,21],1338.1996060730512
a_zt[1,22],1338.1996060730512
a_zt[1,23],1338.1996060730512
a_zt[1,24],0.0
a_zt[2,1],0.0
a_zt[2,2],0.0
a_zt[2,3],0.0
a_zt[2,4],0.0
a_zt[2,5],543.7061359960826
a_zt[2,6],543.7061359960826
a_zt[2,7],543.7061359960826
a_zt[2,8],543.7061359960826
a_zt[2,9],543.7061359960826
a_zt[2,10],543.7061359960826
a_zt[2,11],543.7061359960826
a_zt[2,12],0.0
a_zt[2,13],0.0
a_zt[2,14],0.0
a_zt[2,15],0.0
a_zt[2,16],0.0
a_zt[2,17],543.7061359960826
a_zt[2,18],543.7061359960826
a_zt[2,19],543.7061359960826
a_zt[2,20],543.7061359960826
a_zt[2,21],543.7061359960826
a_zt[2,22],543.7061359960826
a_zt[2,23],543.7061359960826
a_zt[2,24],0.0
a_zt[3,1],0.0
a_zt[3,2],0.0
a_zt[3,3],0.0
a_zt[3,4],0.0
a_zt[3,5],1713.4888442810382
a_zt[3,6],1713.4888442810382
a_zt[3,7],1713.4888442810382
a_zt[3,8],1713.4888442810382
a_zt[3,9],1713.4888442810382
a_zt[3,10],1713.4888442810382
a_zt[3,11],1713.4888442810382
a_zt[3,12],0.0
a_zt[3,13],0.0
a_zt[3,14],0.0
a_zt[3,15],0.0
a_zt[3,16],0.0
a_zt[3,17],1713.4888442810382
a_zt[3,18],1713.4888442810382
a_zt[3,19],1713.4888442810382
a_zt[3,20],1713.4888442810382
a_zt[3,21],1713.4888442810382
a_zt[3,22],1713.4888442810382
a_zt[3,23],1713.4888442810382
a_zt[3,24],0.0
a_zt[4,1],0.0
a_zt[4,2],0.0
a_zt[4,3],0.0
a_zt[4,4],0.0
a_zt[4,5],1163.6775495467268
a_zt[4,6],1163.6775495467268
a_zt[4,7],1163.6775495467268
a_zt[4,8],1163.6775495467268
a_zt[4,9],1163.6775495467268
a_zt[4,10],1163.6775495467268
a_zt[4,11],1163.6775495467268
a_zt[4,12],0.0
a_zt[4,13],0.0
a_zt[4,14],0.0
a_zt[4,15],0.0
a_zt[4,16],0.0
a_zt[4,17],1163.6775495467268
a_zt[4,18],1163.6775495467268
a_zt[4,19],1163.6775495467268
a_zt[4,20],1163.6775495467268
a_zt[4,21],1163.6775495467268
a_zt[4,22],1163.6775495467268
a_zt[4,23],1163.6775495467268
a_zt[4,24],0.0
a_zt[5,1],0.0
a_zt[5,2],0.0
a_zt[5,3],0.0
a_zt[5,4],0.0
a_zt[5,5],766.4197492008839
a_zt[5,6],766.4197492008839
a_zt[5,7],766.4197492008839
a_zt[5,8],766.4197492008839
a_zt[5,9],766.4197492008839
a_zt[5,10],766.4197492008839
a_zt[5,11],766.4197492008839
a_zt[5,12],0.0
a_zt[5,13],0.0
a_zt[5,14],0.0
a_zt[5,15],0.0
a_zt[5,16],0.0
a_zt[5,17],766.4197492008839
a_zt[5,18],766.4197492008839
a_zt[5,19],766.4197492008839
a_zt[5,20],766.4197492008839
a_zt[5,21],766.4197492008839
a_zt[5,22],766.4197492008839
a_zt[5,23],766.4197492008839
a_zt[5,24],0.0
a_zt[6,1],0.0
a_zt[6,2],0.0
a_zt[6,3],1859.7776402145787
a_zt[6,4],0.0
a_zt[6,5],1859.7776402145787
a_zt[6,6],1859.7776402145787
a_zt[6,7],1859.7776402145787
a_zt[6,8],1859.7776402145787
